DOUBLE CHEESE MARGHERITA,190,REGULAR,Food,True,NA,3,Domino's Pizza
DOUBLE CHEESE MARGHERITA,290,REG BURST,Food,True,NA,3,Domino's Pizza
DOUBLE CHEESE MARGHERITA,430,MEDIUM,Food,True,NA,3,Domino's Pizza
Crunchy Frappe,150,NA,Food,,NA,5,Cafe Coffee Day
DOUBLE CHEESE MARGHERITA,550,MED BURST,Food,True,NA,3,Domino's Pizza
Cool Blue,150,NA,Food,,NA,5,Cafe Coffee Day
Classic Lemonade,140,NA,Food,,NA,5,Cafe Coffee Day
GARLIC BREAD WITH CHEESE DIP,140,NA,Food,True,NA,3,Domino's Pizza
TACO VEG,150,NA,Food,True,NA,3,Domino's Pizza
Khus Coconut Refresher,140,NA,Food,,NA,5,Cafe Coffee Day
Tender Coconut Lemonade,140,NA,Food,,NA,5,Cafe Coffee Day
Tandoori Paneer,160,NA,Food,,NA,5,Cafe Coffee Day
Spinach 'n' Corn Cheese,140,NA,Food,,NA,5,Cafe Coffee Day
The Couch Potato,130,NA,Food,,NA,5,Cafe Coffee Day
PEPPER BBQ,210,REGULAR,Food,False,NA,3,Domino's Pizza
PEPPER BBQ,320,REG BURST,Food,False,NA,3,Domino's Pizza
PEPPER BBQ,450,MEDIUM,Food,False,NA,3,Domino's Pizza
PEPPER BBQ,570,MED BURST,Food,False,NA,3,Domino's Pizza
PERI PERI CHICKEN,250,REGULAR,Food,False,NA,3,Domino's Pizza
PERI PERI CHICKEN,350,REG BURST,Food,False,NA,3,Domino's Pizza
PERI PERI CHICKEN,640,MED BURST,Food,False,NA,3,Domino's Pizza
CHICKEN TIKKA,250,REGULAR,Food,False,NA,3,Domino's Pizza
CHICKEN GOLDEN DELIGHT,380,REG BURST,Food,False,NA,3,Domino's Pizza
CHICKEN TIKKA,350,REG BURST,Food,False,NA,3,Domino's Pizza
CHICKEN TIKKA,500,MEDIUM,Food,False,NA,3,Domino's Pizza
CHICKEN TIKKA,640,MED BURST,Food,False,NA,3,Domino's Pizza
CHICKEN GOLDEN DELIGHT,280,REGULAR,Food,False,NA,3,Domino's Pizza
CHICKEN GOLDEN DELIGHT,570,MEDIUM,Food,False,NA,3,Domino's Pizza
