Cafe Coffee Day ,Vaniila Cafe Latte R,160,,,,,,,,,
Cafe Coffee Day ,Vaniila Cafe Latte K,180,,,,,,,,,
Cafe Coffee Day ,Filter Coffee,120,,,,,,,,,
Cafe Coffee Day ,Cafe Frappe ,180,,,,,,,,,
Cafe Coffee Day ,Dark Frappe ,200,,,,,,,,Cafe Coffee Day ,Toffee Cappuccino R
Cafe Coffee Day ,Devils Own,220,,,,,,,,Cafe Coffee Day ,Toffee Cappuccino k
Cafe Coffee Day ,Toffee Frappe ,190,,,,,,,,,
Cafe Coffee Day ,Hot Gourmet Cocoa ,150,,,,,,,,,
Cafe Coffee Day ,Crunchy Frappe ,170,,,,,,,,,
Cafe Coffee Day ,Assam Tea ,120,,,,,,,,,
Cafe Coffee Day ,Masala Tea ,120,,,,,,,,,
Cafe Coffee Day ,Green Tea,130,,,,,,,,,
Cafe Coffee Day ,Strawberry ,150,,,,,,,,,
Cafe Coffee Day ,Chikoo,160,,,,,,,,,
Cafe Coffee Day ,Mango ,160,,,,,,,,,
Cafe Coffee Day ,Classic Lemonade,160,,,,,,,,,
Cafe Coffee Day ,Cool Blue ,170,,,,,,,,,
Cafe Coffee Day ,CCT ,100,,,,,,,,,
Cafe Coffee Day ,Garlic Bread ,100,,,,,,,,,
Cafe Coffee Day ,Spinach s/w,150,,,,,,,,,
Cafe Coffee Day ,Tandoori Paneer s/w,170,,,,,,,,,
Cafe Coffee Day ,Smoked Chicken s/w ,170,,,,,,,,,
Cafe Coffee Day ,Tandoori Chicken s/w,170,,,,,,,,,
Cafe Coffee Day ,Crackling Brownie,130,,,,,,,,,
Cafe Coffee Day ,Cocoa Fantasy,140,,,,,,,,,
Buns ,Black Fizz Mojito,70,,,,,,,,,
Buns ,Blue Logan Mojito,80,,,,,,,,,
Buns ,Green Apple Mojito,90,,,,,,,,,
Buns ,Cranberry Mojito,90,,,,,,,,,
Buns ,Lime Fresh Mojito,90,,,,,,,,,
Buns ,Energy Bull Mojito,110,,,,,,,,,
Buns ,Lemon Ice Tea ,90,,,,,,,,,
Buns ,Veggie Wrap ,130,,,,,,,,,
Buns ,Paneer Wrap ,180,,,,,,,,,
Buns ,Chicken Wrap,140,,,,,,,,,
Buns ,Grilled Chicken Wrap,160,,,,,,,,,
Buns ,Crispy Chicken Wrap,180,,,,,,,,,
Buns ,French Fries ,120,,,,,,,,,
Buns ,Chicken Nuggets ,140,,,,,,,,,
Buns ,Aloo Tikki Burger,80,,,,,,,,,
Buns ,Crispy Masala Burger,90,,,,,,,,,
Buns ,Achari Burger,90,,,,,,,,,
Buns ,Veggie Kebab Burger,110,,,,,,,,,
Buns ,Smoky Beans Burger,110,,,,,,,,,
Buns ,Popeye Burger,110,,,,,,,,,
Buns ,Go Green Burger,140,,,,,,,,,
Buns ,Crazy Veg Masala Burger,150,,,,,,,,,
Buns ,Spicy Paneer Burger,190,,,,,,,,,
Buns ,Veg Jumbo Burger,220,,,,,,,,,
Buns ,Pickle Tickle Burger,130,,,,,,,,,
Buns ,Juicy Chicken Burger,160,,,,,,,,,
Buns ,Spicy Crispy Burger,180,,,,,,,,,
Buns ,Crazy Chicken Burger,180,,,,,,,,,
Buns ,Grilled Chicken Burger ,190,,,,,,,,,
Buns ,Chicken Jumbo Burger,250,,,,,,,,,
Goosebumps ,Candy Land Ice Cream ,100,,,,,,,,,
Goosebumps ,Magic Pop Ice Cream ,150,,,,,,,,,
Goosebumps ,Fruit Exotica Ice Cream,150,,,,,,,,,
Goosebumps ,Chocohorlics Ice Cream,150,,,,,,,,,
Goosebumps ,Ferrero Rochers Ice Cream,200,,,,,,,,,
Goosebumps ,Choco Lava Ice Cream,200,,,,,,,,,
Goosebumps ,Sour Bites Ice Cream,200,,,,,,,,,
Goosebumps ,Nutella Ice Cream,200,,,,,,,,,
Goosebumps ,Brownie Break Ice Cream,200,,,,,,,,,
Goosebumps ,Cotton Candy Ice Cream,250,,,,,,,,,
Goosebumps ,Nitrogen – Dragon Balls,100,,,,,,,,,
Goosebumps ,Nitrogen – Smoky Popcorn,100,,,,,,,,,
Goosebumps ,Classic Waffle,125,,,,,,,,,
Goosebumps ,Brownie Delight Waffle,140,,,,,,,,,
Goosebumps ,Chocoate Desire Waffle,175,,,,,,,,,
Goosebumps ,Hey Rochers Waffle,200,,,,,,,,,
Goosebumps ,Belgium Blast Waffle,200,,,,,,,,,
Goosebumps ,Blueberry Wonder Waffle,200,,,,,,,,,
Goosebumps ,Fruitilicious Punch Waffle,200,,,,,,,,,
Goosebumps ,Wonderland Waffle,200,,,,,,,,,
Goosebumps ,Buddy In Nutty Waffle  ,200,,,,,,,,,
Goosebumps ,Waffle Seekh ,100,,,,,,,,,
Goosebumps ,Bubble Waffle,150,,,,,,,,,
Goosebumps ,Kitkat Waffle,200,,,,,,,,,
Goosebumps ,Oreo Waffle,200,,,,,,,,,
Goosebumps ,Cold Coffee Shake ,100,,,,,,,,,
Goosebumps ,Chocolate Shake,100,,,,,,,,,
Goosebumps ,KitKat Shake,150,,,,,,,,,
